Title,Id,Category,Reg. Price,Price,Image,Description,Height,Width,Length,Glass,Safety Listing,Weight,Chain,Wire,Number of Bulbs,Max Wattage,Bulb Base,Light Sourse,Dimmable,Bulb Voltage,Manufacturers_warranty,Finish,UPC,Instructions,Parts Diagram,Extension,Shipped Via,Bulbs Included,Bulb Type,Color Temp,CRI,Light Output,Rated Avg Life,Canopy
Two Light Wall Sconce,169387,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/169387.jpg,Hard wired sconce in gently worn gold leaf finish. Features brilliant crystal drops and hand blown swirled crystal shades in gilded frames.,"65""","15""",,,Dry,11lb,,,2,60W,Candelabra,,,,,Gold,,,,"8""",,,B-10,,,,,
One Light Wall Sconce,169379,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/169379.jpg,Industrial wall lamp in platinized silver finish. Hand sewn silk shade.,"36""","13""",,,Dry,8lb,,,1,100W,Medium,,,,,Silver,,,,"6""",,,A-19,,,,,
One Light Wall Sconce,168833,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/168833.jpg,Wall sconce in cool moonlit patina. Classical foliage motif features moon dusted crystal pendants. Hand-tailored Baroness Beige half shade.,"68""","12""",,,Dry,6lb,,,1,60W,Medium,,,,,Gold,,,,"9""",,,B-11,,,,,
One Light Vanity,163178,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/163178.jpg,"Heavy Handmade Glass Is Held In Classic European Iron Works Giving These Pieces A Contemporary Quality, With Strong Traditional Appeal As Well.","60""","12""",,,,10lb,,"12""",1,60W,E12,,,110V,,Oil Rubbed Bronze,,,,"6""",UPS,,B,,,,,
One Light Wall Sconce,151904,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/151904.jpg,Elegant wall lamp in platinized silver finish. Hand tailored silk shade.,"35""","10""",,,Dry,10lb,,,1,100W,Medium,,,,,Silver,,,,"9""",,,A-19,,,,,
One Light Wall Sconce,151902,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/151902.jpg,Tiered wall lamp in platinized silver finish. Hand sewn silk shade.,"46""","8""",,,Dry,15lb,,,1,100W,Medium,,,,,Silver,,,,"8""",,,A-19,,,,,
One Light Wall Sconce,124685,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/PM420650ST_fs.jpg,Wall sconce with stylized leaf design in platinized silver finish. Hand-tailored shade of elegant silk. ADA Compliant.,"27""","7""",,,Dry,2lb,,,1,60W,Candelabra,,,,,Silver,,,,"4""",,,G-16.5,,,,,
One Light Wall Sconce,124561,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/PM715150ST_fs.jpg,"Four-sided, elongated wall sconce in a dor gold finish with a demi-lune half-shade in a laminated silk shantung fabric. ADA Compliant.","32""","8""",,,Dry,3lb,,,1,40W,Intermediate,,,,,Gold,,,,"4""",,,S-11,,,,,
One Light Wall Sconce,124558,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/PM831350ST_fs.jpg,Wall sconce in platinized silver finish. ADA Compliant.,"70""","4""",,,Dry,16lb,,,1,60W,Candelabra,,,,,Gold,,,,"4""",,,B-10,,,,,
One Light Wall Sconce,124356,"Sconces, Wall Torchieres",,Call for Price,https://cdn.lightsamerica.com/images/SM5/PM155950ST_fs.jpg,Wall sconce in warm finish of rich umber with gilded accents. Hand-painted mica shade with fleuron and diamond designs.,"41""","9.5""",,,,5lb,,,1,60W,Candelabra,,,,,Other Dark,,,,"5""",,,B-10,,,,,
